country,religion,population_proportion,sample_count,sample_proportion,absolute_deviation,signed_deviation,gri_contribution_points,deviation_percentage_points,representation_ratio,over_under_representation_pct,dimension,stratum_id,representation_category
United Kingdom,Islam,0.0003959137516824,9.0,0.00995575221238938,0.00955983846070698,0.00955983846070698,0.47799192303534904,0.9559838460706981,25.146265241061478,2414.626524106148,Country × Religion,country:United Kingdom × religion:Islam,Highly Over-represented
Thailand,Buddhism,0.0093432025295943,0.0,0.0,0.0093432025295943,-0.0093432025295943,0.46716012647971505,-0.9343202529594301,0.0,-100.0,Country × Religion,country:Thailand × religion:Buddhism,Missing
Mexico,I do not identify with any religious group or faith,0.0007731497540603,9.0,0.00995575221238938,0.009182602458329081,0.009182602458329081,0.45913012291645405,0.9182602458329081,12.876874318468586,1187.6874318468585,Country × Religion,country:Mexico × religion:I do not identify with any religious group or faith,Highly Over-represented
Dem. Rep. of the Congo,Christianity,0.0091661743633714,0.0,0.0,0.0091661743633714,-0.0091661743633714,0.45830871816857,-0.91661743633714,0.0,-100.0,Country × Religion,country:Dem. Rep. of the Congo × religion:Christianity,Missing
Mexico,Christianity,0.0156439450236475,6.0,0.00663716814159292,0.00900677688205458,-0.00900677688205458,0.450338844102729,-0.900677688205458,0.4242643483827212,-57.57356516172788,Country × Religion,country:Mexico × religion:Christianity,Highly Under-represented
China,Christianity,0.0099216790251784,1.0,0.0011061946902654867,0.008815484334912914,-0.008815484334912914,0.44077421674564565,-0.8815484334912913,0.11149269064825411,-88.8507309351746,Country × Religion,country:China × religion:Christianity,Highly Under-represented
Argentina,I do not identify with any religious group or faith,0.0007150308869899,8.0,0.008849557522123894,0.008134526635133994,0.008134526635133994,0.4067263317566997,0.8134526635133994,12.376468881474901,1137.64688814749,Country × Religion,country:Argentina × religion:I do not identify with any religious group or faith,Highly Over-represented
Brazil,I do not identify with any religious group or faith,0.0022337082693531,9.0,0.00995575221238938,0.007722043943036281,0.007722043943036281,0.38610219715181404,0.7722043943036281,4.457051240300348,345.7051240300348,Country × Religion,country:Brazil × religion:I do not identify with any religious group or faith,Highly Over-represented
Ethiopia,Christianity,0.0075553076830546,0.0,0.0,0.0075553076830546,-0.0075553076830546,0.37776538415273,-0.75553076830546,0.0,-100.0,Country × Religion,country:Ethiopia × religion:Christianity,Missing
United States,I do not identify with any religious group or faith,0.0073826741107432,0.0,0.0,0.0073826741107432,-0.0073826741107432,0.36913370553716,-0.73826741107432,0.0,-100.0,Country × Religion,country:United States × religion:I do not identify with any religious group or faith,Missing
France,I do not identify with any religious group or faith,0.0025499087286355,8.0,0.008849557522123894,0.006299648793488394,0.006299648793488394,0.3149824396744197,0.6299648793488394,3.4705389344894098,247.05389344894098,Country × Religion,country:France × religion:I do not identify with any religious group or faith,Highly Over-represented
