Column,Age,Country Code,Sex,Religion,,
Meaning,Years,,"1=Male
2=Female","0=No denomination
1=Roman Catholic
2=Protestant
3=Orthodox
4=Jew
5=Muslim
6=Hindu
7=Buddhist
8=Other","1=Urban
2=Rural",
D_INTERVIEW,Q262,Q266,Q260,Q289,H_URBRURAL,ISO3_Code
20070348,47,724,2,7,1,ESP
20070349,35,156,1,0,1,CHN
20070350,58,724,2,0,1,ESP
20070351,72,152,1,1,1,CHL
20070352,60,724,2,1,1,ESP
20070353,30,724,2,1,1,ESP
20070354,41,504,1,0,1,MAR
20070355,85,20,2,1,1,AND
20070356,48,20,1,0,1,AND
20070357,20,20,1,1,1,AND
20070358,81,724,1,1,1,ESP
20070359,45,724,1,0,1,ESP
20070360,35,156,2,0,1,CHN
20070361,39,724,1,1,1,ESP
20070362,38,620,1,0,1,PRT
20070363,33,724,1,-2,1,ESP
20070364,37,20,2,0,1,AND
20070365,50,620,1,1,1,PRT
20070366,58,20,2,1,1,AND
20070367,55,20,1,1,1,AND
20070368,57,724,2,1,1,ESP
20070369,74,840,2,4,1,USA
20070370,38,20,1,0,1,AND
20070371,32,20,1,1,1,AND
20070372,57,724,2,1,1,ESP
20070373,44,20,2,1,1,AND
20070374,22,32,2,0,1,ARG
20070375,43,724,2,1,1,ESP
20070376,55,724,2,0,1,ESP
20070377,46,724,1,0,1,ESP
20070378,41,724,1,0,1,ESP
20070379,42,724,1,1,1,ESP
20070380,57,724,2,1,1,ESP
20070381,46,643,1,0,1,RUS
20070382,73,724,1,1,1,ESP
20070383,53,250,2,0,1,FRA
20070384,77,250,2,1,1,FRA
20070385,38,20,2,0,1,AND
20070386,63,724,1,0,1,ESP
20070387,55,724,2,1,1,ESP
20070388,71,724,2,0,1,ESP
20070389,57,724,2,0,1,ESP
20070390,33,620,2,1,1,PRT
20070391,45,724,2,0,1,ESP
20070392,38,724,2,0,1,ESP
20070393,23,604,2,1,1,PER
20070394,52,724,2,0,1,ESP
20070395,18,20,2,0,1,AND
20070396,18,20,1,0,1,AND
20070397,66,724,1,1,1,ESP
20070398,52,724,2,0,1,ESP
20070399,87,724,1,1,1,ESP
20070400,32,20,2,0,1,AND
20070401,78,20,1,1,1,AND
20070402,36,192,2,1,1,CUB
20070403,48,724,1,1,1,ESP
20070404,56,724,2,1,1,ESP
20070405,44,620,2,1,1,PRT
20070406,38,250,1,1,1,FRA
20070407,33,620,2,1,1,PRT
20070408,56,250,1,1,1,FRA
20070409,35,724,1,0,1,ESP
20070410,68,356,1,6,1,IND
20070411,18,620,2,1,1,PRT
20070412,23,20,2,1,1,AND
20070413,32,250,1,1,1,FRA
20070414,25,620,2,1,1,PRT
20070415,51,250,1,1,1,FRA
20070416,46,724,2,1,1,ESP
20070417,18,20,1,1,1,AND
20070418,18,20,2,1,1,AND
20070419,33,620,1,1,1,PRT
20070420,28,724,1,1,1,ESP
20070421,33,724,1,1,1,ESP
20070422,42,20,1,1,1,AND
20070423,60,20,2,1,1,AND
20070424,28,170,1,1,1,COL
20070425,21,620,1,1,1,PRT
20070426,30,20,2,1,1,AND
20070427,33,724,2,1,1,ESP
