country,environment,count,proportion,population_proportion,sample_proportion,benchmark_proportion,deviation,abs_deviation,normalized_deviation,tvd_contribution
Switzerland,Rural,1.0,0.0016666666666666668,0.0002933448837062,0.0016666666666666668,0.0002933448837062,0.0013733217829604667,0.0013733217829604667,4.681594461814167,0.0006866608914802333
South Sudan,Rural,,,0.0013606014369313,0.0,0.0013606014369313,-0.0013606014369313,0.0013606014369313,-1.0,0.00068030071846565
Rwanda,Rural,,,0.001356015875998,0.0,0.001356015875998,-0.001356015875998,0.001356015875998,-1.0,0.000678007937999
Croatia,Urban,1.0,0.0016666666666666668,0.0003107700152528,0.0016666666666666668,0.0003107700152528,0.0013558966514138667,0.0013558966514138667,4.363022765600133,0.0006779483257069334
Slovakia,Rural,1.0,0.0016666666666666668,0.0003304224192528,0.0016666666666666668,0.0003304224192528,0.0013362442474138668,0.0013362442474138668,4.0440483743069855,0.0006681221237069334
Zambia,Rural,,,0.0013030854012247,0.0,0.0013030854012247,-0.0013030854012247,0.0013030854012247,-1.0,0.00065154270061235
Syrian Arab Republic,Urban,,,0.0012974517120781,0.0,0.0012974517120781,-0.0012974517120781,0.0012974517120781,-1.0,0.00064872585603905
Madagascar,Urban,,,0.0012796335324514,0.0,0.0012796335324514,-0.0012796335324514,0.0012796335324514,-1.0,0.0006398167662257
Dem. People's Republic of Korea,Rural,,,0.0012784543882114,0.0,0.0012784543882114,-0.0012784543882114,0.0012784543882114,-1.0,0.0006392271941057
Burundi,Rural,,,0.0012780613401314,0.0,0.0012780613401314,-0.0012780613401314,0.0012780613401314,-1.0,0.0006390306700657
Colombia,Rural,,,0.0012457003815448,0.0,0.0012457003815448,-0.0012457003815448,0.0012457003815448,-1.0,0.0006228501907724
Republic of Korea,Rural,,,0.0012428180289582,0.0,0.0012428180289582,-0.0012428180289582,0.0012428180289582,-1.0,0.0006214090144791
Afghanistan,Urban,,,0.0012149116152782,0.0,0.0012149116152782,-0.0012149116152782,0.0012149116152782,-1.0,0.0006074558076391
Australia,Rural,1.0,0.0016666666666666668,0.0004539705323993,0.0016666666666666668,0.0004539705323993,0.0012126961342673668,0.0012126961342673668,2.67131024531062,0.0006063480671336834
Jordan,Urban,,,0.0011804544002649,0.0,0.0011804544002649,-0.0011804544002649,0.0011804544002649,-1.0,0.00059022720013245
Romania,Rural,,,0.0011801923682116,0.0,0.0011801923682116,-0.0011801923682116,0.0011801923682116,-1.0,0.0005900961841058
Cuba,Urban,,,0.0011596228520249,0.0,0.0011596228520249,-0.0011596228520249,0.0011596228520249,-1.0,0.00057981142601245
Dominican Republic,Urban,,,0.0011559544032783,0.0,0.0011559544032783,-0.0011559544032783,0.0011559544032783,-1.0,0.00057797720163915
Guatemala,Urban,,,0.0011534650987716,0.0,0.0011534650987716,-0.0011534650987716,0.0011534650987716,-1.0,0.0005767325493858
New Zealand,Urban,1.0,0.0016666666666666668,0.0005384758695992,0.0016666666666666668,0.0005384758695992,0.0011281907970674668,0.0011281907970674668,2.0951557177616986,0.0005640953985337334
Senegal,Rural,,,0.001127392909465,0.0,0.001127392909465,-0.001127392909465,0.001127392909465,-1.0,0.0005636964547325
Guatemala,Rural,,,0.0011059062810917,0.0,0.0011059062810917,-0.0011059062810917,0.0011059062810917,-1.0,0.00055295314054585
Syrian Arab Republic,Rural,,,0.0010980453194917,0.0,0.0010980453194917,-0.0010980453194917,0.0010980453194917,-1.0,0.00054902265974585
Somalia,Rural,,,0.0010946389027984,0.0,0.0010946389027984,-0.0010946389027984,0.0010946389027984,-1.0,0.0005473194513992
Guinea,Rural,,,0.001092018582265,0.0,0.001092018582265,-0.001092018582265,0.001092018582265,-1.0,0.0005460092911325
Norway,Urban,1.0,0.0016666666666666668,0.0005768635654125,0.0016666666666666668,0.0005768635654125,0.0010898031012541668,0.0010898031012541668,1.889186918010461,0.0005449015506270834
Mali,Urban,,,0.0010603127038118,0.0,0.0010603127038118,-0.0010603127038118,0.0010603127038118,-1.0,0.0005301563519059
Finland,Urban,1.0,0.0016666666666666668,0.0006199678381857,0.0016666666666666668,0.0006199678381857,0.0010466988284809668,0.0010466988284809668,1.6883114961964323,0.0005233494142404834
Italy,Rural,2.0,0.0033333333333333335,0.00229644891541,0.0033333333333333335,0.00229644891541,0.0010368844179233336,0.0010368844179233336,0.4515164308535084,0.0005184422089616668
Czechia,Urban,,,0.0010272966650918,0.0,0.0010272966650918,-0.0010272966650918,0.0010272966650918,-1.0,0.0005136483325459
Kazakhstan,Rural,,,0.0010265105689318,0.0,0.0010265105689318,-0.0010265105689318,0.0010265105689318,-1.0,0.0005132552844659
Bolivia (Plurinational State of),Urban,,,0.0010200907836251,0.0,0.0010200907836251,-0.0010200907836251,0.0010200907836251,-1.0,0.00051004539181255
Senegal,Urban,,,0.0010075132450652,0.0,0.0010075132450652,-0.0010075132450652,0.0010075132450652,-1.0,0.0005037566225326
Malaysia,Rural,,,0.0010060720687718,0.0,0.0010060720687718,-0.0010060720687718,0.0010060720687718,-1.0,0.0005030360343859
Denmark,Urban,1.0,0.0016666666666666668,0.0006625480468523,0.0016666666666666668,0.0006625480468523,0.0010041186198143667,0.0010041186198143667,1.5155408344871508,0.0005020593099071834
Zambia,Urban,,,0.0010041068283718,0.0,0.0010041068283718,-0.0010041068283718,0.0010041068283718,-1.0,0.0005020534141859
Algeria,Urban,3.0,0.005,0.0039972989735942,0.005,0.0039972989735942,0.0010027010264058002,0.0010027010264058002,0.25084464110129207,0.0005013505132029001
Austria,Urban,1.0,0.0016666666666666668,0.0006684437680523,0.0016666666666666668,0.0006684437680523,0.0009982228986143667,0.0009982228986143667,1.4933535868289587,0.0004991114493071834
"China, Hong Kong SAR",Urban,,,0.0009733180621052,0.0,0.0009733180621052,-0.0009733180621052,0.0009733180621052,-1.0,0.0004866590310526
Belarus,Urban,,,0.0009733180621052,0.0,0.0009733180621052,-0.0009733180621052,0.0009733180621052,-1.0,0.0004866590310526
Papua New Guinea,Rural,,,0.0009577271549319,0.0,0.0009577271549319,-0.0009577271549319,0.0009577271549319,-1.0,0.00047886357746595
Peru,Rural,,,0.0009422672637853,0.0,0.0009422672637853,-0.0009422672637853,0.0009422672637853,-1.0,0.00047113363189265
Hungary,Urban,,,0.0009057137923453,0.0,0.0009057137923453,-0.0009057137923453,0.0009057137923453,-1.0,0.00045285689617265
Canada,Rural,,,0.000899949087172,0.0,0.000899949087172,-0.000899949087172,0.000899949087172,-1.0,0.000449974543586
Somalia,Urban,,,0.000894446414052,0.0,0.000894446414052,-0.000894446414052,0.000894446414052,-1.0,0.000447223207026
Tajikistan,Rural,,,0.0008694223529587,0.0,0.0008694223529587,-0.0008694223529587,0.0008694223529587,-1.0,0.00043471117647935
Switzerland,Urban,1.0,0.0016666666666666668,0.0008260560481321,0.0016666666666666668,0.0008260560481321,0.0008406106185345668,0.0008406106185345668,1.0176193497225496,0.0004203053092672834
Haiti,Urban,,,0.0008048314518121,0.0,0.0008048314518121,-0.0008048314518121,0.0008048314518121,-1.0,0.00040241572590605
Ecuador,Rural,,,0.0007993287786921,0.0,0.0007993287786921,-0.0007993287786921,0.0007993287786921,-1.0,0.00039966438934605
Benin,Rural,,,0.0007929089933855,0.0,0.0007929089933855,-0.0007929089933855,0.0007929089933855,-1.0,0.00039645449669275
Portugal,Urban,1.0,0.0016666666666666668,0.0008792485549587,0.0016666666666666668,0.0008792485549587,0.0007874181117079668,0.0007874181117079668,0.8955580390404546,0.0003937090558539834
